ID,Name,Symbol,Description,Definition,Bit-flipping stable,Monotonic,p-Monotonic,Doubly monotonic,Strictly monotonic,Notes,References,Category
f6196a91,Minimum Teaching Set Size,$\mathrm{TS}_{\min}$,,,TRUE,FALSE,FALSE,FALSE,FALSE,,,Teaching and Hitting
193eb40b,Maximum Teaching Set Size,$\mathrm{TS}_{\max}$,,,TRUE,TRUE,FALSE,FALSE,FALSE,,,Teaching and Hitting
b8e04827,Minimum Projected Teaching Set Size,$\mathrm{TS}_{\min}^p$,,,TRUE,FALSE,TRUE,FALSE,FALSE,,,Teaching and Hitting
abc1e623,Maximum Projected Teaching Set Size,$\mathrm{TS}_{\max}^p$,,,TRUE,TRUE,TRUE,TRUE,FALSE,,,Teaching and Hitting
19ba3dbe,Monotonic Minimum Teaching Set Size,$\mathrm{TS}_{\min}^*$,,,TRUE,TRUE,FALSE,FALSE,FALSE,,,Teaching and Hitting
aec871f9,Monotonic Projected Minimum Teaching Set Size,$\mathrm{TS}_{\min}^{*p}$,,,TRUE,TRUE,TRUE,TRUE,FALSE,,,Teaching and Hitting
56f8c183,Information Complexity,$\mathrm{IC}$,,,TRUE,TRUE,,,,,https://arxiv.org/abs/2206.13257,Basic
c5c8d306,Proper Ordered Sample Compression,$\mathrm{pOSC}$,,,TRUE,FALSE,TRUE,FALSE,FALSE,,,Compression
2ad917e5,Largest Shattered Set,$\mathrm{SH}$,,,TRUE,TRUE,TRUE,TRUE,FALSE,,,Shattering
3df34125,Minimum Largest Order Shattered Set,$\mathrm{OSH}_{\min}$,,,TRUE,TRUE,FALSE,FALSE,FALSE,,,Shattering
20d65b4d,Largest Strongly Shattered Set,$\mathrm{ST}$,,,TRUE,TRUE,FALSE,FALSE,FALSE,,,Shattering
37a07ee4,Degeneracy,$\mathrm{d}^*_{\min}$,,"The \emph{degeneracy} of a concept class is defined as the degeneracy of its $1$-inclusion graph, i.e. the maximum over induced subgraphs of the minimum degree.",TRUE,TRUE,FALSE,FALSE,FALSE,,,Graph-based
d65b1577,Maximum Degree,$\mathrm{d}_{\max}$,,The \emph{maximum degree} of a concept class is defined as the maximum degree of its $1$-inclusion graph.,TRUE,TRUE,FALSE,FALSE,FALSE,,,Graph-based
f8417a3c,Projected Maximal Degree,$\mathrm{d}^p_{\max}$,,,TRUE,TRUE,TRUE,TRUE,FALSE,,,Graph-based
,,,,,,,,,,,,
5db1dc79,Projected Double Density or Projected Average Degree,$\mathrm{dens}^p$,,The \emph{projected double density} of a concept class is defined as the maximum over all projections of the averaged degree of the $1$-inclusion graph.,TRUE,TRUE,TRUE,TRUE,FALSE,,,Graph-based
44ac5c8c,Projected Minimum Degree,$\mathrm{d}^p_{\min}$,,,TRUE,TRUE,TRUE,TRUE,FALSE,,,Graph-based
,,,,,,,,,,,,
15329c0a,Dual Sign Rank,$\mathrm{DSR}$,,The \emph{dual sign rank} of a sign matrix $S$ is the maximum number $k$ such that there exist $k$ columns of $S$ such that any real matrix $M$ with signs $S$ has those column linearly independent.,TRUE,TRUE,TRUE,TRUE,FALSE,,"From ""Sign Rank versus VC dimension"", Alon, Moran, Yehudayoff",Algebraic
dcab7b9c,Projected VC Radius,$\mathrm{VCR}^p$,,,TRUE,TRUE,TRUE,TRUE,FALSE,,,Shattering
94b27f3e,Projected Strongly Shattered Dimension,$\mathrm{ST}^p$,,,TRUE,TRUE,TRUE,TRUE,FALSE,,,Shattering
dc6df2ea,Maximum Largest Order Shattered Set,$\mathrm{OSH}_{\max}$,,,TRUE,TRUE,TRUE,TRUE,FALSE,,,Shattering
9289f6cb,Maximum Positive Degree,$\mathrm{d}^+_{\max}$,,The \emph{Maximum Positive Degree} of a concept class is the maximum dominance of its $1$-inclusion graph (where dominance is the number of neighbors that are smaller with respect to inclusion).,FALSE,TRUE,FALSE,FALSE,FALSE,,,Graph-based
24146bbb,Positive No-Clashing Teaching Dimension,$\mathrm{NCTD}^+$,,,FALSE,TRUE,FALSE,FALSE,FALSE,,,Teaching and Hitting
02cce113,Distinguishing Range,$\mathrm{R}$,,Minimum number of coordinates over which all concepts in the class can be distinguished.,TRUE,TRUE,FALSE,FALSE,FALSE,,,Basic
1dd9f740,Positive Recursive Teaching Dimension,$\mathrm{RTD}^+$,,,FALSE,TRUE,FALSE,FALSE,FALSE,,,Teaching and Hitting
df84e955,2-Littlestone Dimension,$\mathrm{L}_2$,,,TRUE,TRUE,TRUE,TRUE,FALSE,,,Queries
5584a06e,3-Littlestone Dimension,$\mathrm{L}_3$,,,TRUE,TRUE,TRUE,TRUE,FALSE,,,Queries
0b91817a,$k$-Littlestone Dimension ($k\ge3$),$\mathrm{L}_k$,,,TRUE,TRUE,TRUE,TRUE,FALSE,,,Queries
